Order_ID,Customer_Name,Region,Product,Sales,Quantity,Discount,Order_Date,Category
ORD1060,, EAST ,mouse,22076.31,8,,2025-12-11,Accessories
ORD1061,,South,,,1,,2025-09-08,Accessories
,Veronica Murray,South,,9785.34,,0.18,07/08/2025,Electronics
,KIMBERLY FIGUEROA, EAST ,,44101.91,,0.06,,Accessories
ORD1064,Steven Clements,West,Laptop,,,,,Electronics
ORD1065,LYDIA HUGHES,West,mouse,46132.47,5,,2026-02-08,Accessories
, James Lee ,north ,,22604.1,,,,Accessories
ORD1067,STEVEN KAUFMAN,north ,,12061.34,,,,Accessories
,JENNIFER PAUL,West,Tablet,48285.0,2,,2025-10-09,Electronics
ORD1069,,South,tablet,39185.5,,0.16,02-18-2026,Electronics
,, EAST ,,43682.96,4,,2025-11-05,Electronics
,Cheyenne Campbell,West,tablet,34853.06,1,,13/08/2025,Electronics
,,north ,mouse,4408.93,4,0.37,21/10/2025,Accessories
, Anthony Berg ,West,MONITOR,44995.97,5,,01-05-2026,Electronics
ORD1074, Matthew Lopez ,West,TABLET,19542.32,4,,03-26-2026,Electronics
,, EAST ,Laptop,,,,14/03/2026,Electronics
ORD1076,MARY STEPHENSON,South,printer,,,,,Office
, Terry Jefferson ,South,laptop,,7,,06-03-2025,Electronics
ORD1078,, EAST ,MOUSE,40309.51,,,08-24-2025,Accessories
ORD1079,Brian Morgan, EAST ,Laptop,,10,,2025-08-04,Electronics
ORD1080,,North,TABLET,45805.17,,0.16,2025-07-24,Electronics
ORD1081,,North,Laptop,27108.56,,,08/01/2026,Electronics
,Karen Blanchard,West,,,4,0.18,12-14-2025,Electronics
, Jessica Peters ,north ,LAPTOP,3497.23,,0.08,2025-08-17,Electronics
ORD1084,CESAR REYES,north ,keyboard,3896.2,10,0.13,2026-03-03,Accessories
ORD1085,CODY DICKERSON,north ,KEYBOARD,40026.43,1,0.32,02-27-2026,Accessories
ORD1086, Joe Nguyen ,North,laptop,,8,0.31,,Electronics
ORD1087,Katherine King,South,PRINTER,23173.1,7,,,Office
ORD1088, Troy Ferguson ,north ,laptop,,,,,Electronics
,,North,Printer,,7,,10-09-2025,Office
ORD1090,,South,Monitor,15969.92,,0.37,2025-05-18,Electronics
ORD1091,,North,LAPTOP,,9,,04-10-2026,Electronics
ORD1092,Justin Brewer, EAST ,TABLET,17906.49,3,,06-27-2025,Electronics
ORD1093,YESENIA HOUSTON,West,Laptop,,5,,10-13-2025,Electronics
ORD1094,TAMMY HALL MD,south,,3944.48,2,,05-30-2025,Accessories
ORD1095, Joshua Howard ,South,MOUSE,38953.36,1,0.3,2025-07-03,Accessories
ORD1096,,West,,,6,,05-26-2025,Accessories
ORD1097,,north ,Laptop,880.51,5,0.13,,Electronics
ORD1098,MELVIN HUNTER,south,,,2,0.34,,Electronics
ORD1099,Anthony Miller, EAST ,,35620.2,2,,29/10/2025,Electronics
ORD1100, Chelsey King ,North,,,7,,09-11-2025,Office
ORD1101,DAVID MARTINEZ,North,Mouse,10098.23,6,,22/01/2026,Accessories
,KATRINA SHAH,South,Mouse,38755.98,,,02-28-2026,Accessories
ORD1103,Jonathan Diaz,West,,,,,,Accessories
ORD1104, Katie Murillo , EAST ,Laptop,32410.99,,0.15,,Electronics
,ANDREW HAYES, EAST ,,47907.26,,0.03,2025-10-09,Office
,,West,mouse,45937.87,,,2025-09-27,Accessories
ORD1107,, EAST ,KEYBOARD,,3,0.23,08-14-2025,Accessories
,,south,Keyboard,19145.63,3,,05-16-2025,Accessories
ORD1109, Matthew Olsen ,south,laptop,17415.75,4,0.03,2026-04-07,Electronics
ORD1110,SABRINA KEY,north ,,,,,11-02-2025,Electronics
,PATRICIA GONZALEZ,West,TABLET,37743.36,4,,07/05/2025,Electronics
,,West,KEYBOARD,25393.88,,,2025-10-14,Accessories
ORD1113, Seth Best ,north ,Tablet,35714.35,5,0.11,,Electronics
ORD1114,, EAST ,Laptop,20124.47,4,0.15,06-04-2025,Electronics
, Peter Hodge ,south,laptop,45911.11,8,0.25,2026-04-09,Electronics
ORD1116,IAN PALMER,north ,,14761.03,2,,2025-09-27,Accessories
ORD1117,Amy Morales,South,laptop,36067.94,10,0.23,2025-08-07,Electronics
ORD1118,Jose Thomas,north ,Printer,,6,,2025-06-13,Office
ORD1119,John Ward,north ,KEYBOARD,17938.8,,0.19,24/03/2026,Accessories
,,North,LAPTOP,10478.75,,,05-08-2025,Electronics
,JULIE DEAN, EAST ,LAPTOP,,6,,,Electronics
ORD1122,, EAST ,tablet,,,,22/10/2025,Electronics
ORD1123, Deborah Jordan ,North,Printer,15134.18,10,,,Office
, Michael Cook ,north ,,14090.49,7,0.21,2025-11-23,Electronics
,,North,mouse,39036.51,,0.01,,Accessories
ORD1126,,North,keyboard,,5,0.01,,Accessories
ORD1127,Janice Stephens, EAST ,PRINTER,,5,0.05,,Office
,,North,MOUSE,,5,0.34,04-23-2025,Accessories
ORD1129,Stephanie Wilson,south,printer,24954.09,10,0.19,2026-01-07,Office
ORD1130,,South,,,3,,,Electronics
, April Williams ,south,tablet,,,0.06,14/03/2026,Electronics
,ERIKA MARTINEZ, EAST ,KEYBOARD,,9,0.25,12/12/2025,Accessories
,VANESSA IRWIN,south,PRINTER,42205.24,,,06/01/2026,Office
ORD1134,Timothy Hodge,West,PRINTER,32274.41,5,0.03,01/06/2025,Office
ORD1135,,West,monitor,,6,,2026-01-28,Electronics
ORD1136,,North,KEYBOARD,22755.0,,0.17,10-25-2025,Accessories
, Ruth Rogers ,south,printer,25978.88,5,,,Office
ORD1138, Timothy Weaver ,North,Mouse,,,0.0,,Accessories
ORD1139, Sheri Taylor ,West,MOUSE,,,,,Accessories
ORD1140,James Smith,south,Printer,39847.41,9,,2025-05-24,Office
ORD1141,KEVIN GREEN,South,LAPTOP,40296.31,10,,28/11/2025,Electronics
, Mrs. Megan Zuniga DVM ,north ,MONITOR,25730.85,5,,01-05-2026,Electronics
ORD1143,,north ,TABLET,,10,0.11,2025-11-20,Electronics
ORD1144,WILLIAM SIMON,north ,,7814.9,10,,,Office
ORD1145,PAULA JOHNSON,West,,43704.48,3,,,Accessories
ORD1146,,north ,KEYBOARD,,10,0.08,04-13-2026,Accessories
ORD1147,MICHAEL SMITH, EAST ,PRINTER,34666.88,8,,03-16-2026,Office
,,West,LAPTOP,40328.48,,,08-28-2025,Electronics
ORD1149,ELIZABETH NOLAN,south,TABLET,46684.68,,0.23,2025-06-25,Electronics
,TIMOTHY BENNETT,South,tablet,,,0.31,06/01/2026,Electronics
,,West,monitor,14718.63,,0.23,05/02/2026,Electronics
ORD1152,Madison Thompson,West,,37575.66,1,0.23,04-14-2025,Electronics
ORD1153,,south,,40536.29,,0.1,2026-03-29,Accessories
ORD1154, Scott Moore ,north ,tablet,42879.25,9,0.03,02/12/2025,Electronics
ORD1155, Robert Hill ,south,Mouse,12158.3,,0.29,03-03-2026,Accessories
ORD1156,TYLER JONES,North,Tablet,,,,12-28-2025,Electronics
ORD1157,NICOLE RAMOS,south,,,,,30/08/2025,Office
,Joseph Oconnor,north ,,,,0.36,11/06/2025,Accessories
ORD1159,,North,mouse,,1,,,Accessories
ORD1160,,South,PRINTER,36302.36,4,,2025-06-28,Office
ORD1161,Sean Townsend,West,Printer,14710.99,6,,,Office
,MELISSA ROBERTS,South,LAPTOP,49645.92,,0.39,2025-10-26,Electronics
ORD1163,,north ,,12751.85,3,0.37,2025-06-27,Accessories
ORD1164,Danielle Moran,south,tablet,29900.24,10,,,Electronics
,MICHELLE RUSSELL,North,mouse,,,,16/09/2025,Accessories
ORD1166,JAMES COX,West,KEYBOARD,,,,,Accessories
ORD1167,,West,printer,,8,0.12,,Office
,,West,laptop,13122.28,8,0.04,2026-03-27,Electronics
ORD1169,Michelle Fox,North,keyboard,,4,,05-19-2025,Accessories
ORD1170,TAMMY DAVID,South,Laptop,37470.52,4,,02-04-2026,Electronics
ORD1171, Renee Brown , EAST ,MONITOR,44199.19,8,,12-08-2025,Electronics
ORD1172,MITCHELL BAXTER,South,monitor,,7,,10/10/2025,Electronics
,ANTHONY HALL,West,MONITOR,,8,,02/02/2026,Electronics
,,south,Mouse,26435.25,1,0.05,2025-10-31,Accessories
ORD1175,Jennifer Lee,south,,,,0.2,,Electronics
ORD1176, Jennifer Santiago ,north ,LAPTOP,,7,0.37,12/12/2025,Electronics
, Alexa Wade , EAST ,MOUSE,4411.45,8,0.4,06-22-2025,Accessories
ORD1178,Mario Mcpherson,North,,19273.57,1,,02-21-2026,Electronics
ORD1179,Michelle Rocha,south,printer,,8,,2025-06-08,Office
ORD1180,Bradley Green,south,mouse,35779.21,2,,03-24-2026,Accessories
,JAMES LEWIS,South,Monitor,25289.25,2,,,Electronics
ORD1182, Julie Hill ,West,,27875.37,,,2025-05-20,Accessories
ORD1183,MICHAEL NGUYEN,South,Printer,,7,0.14,2026-02-07,Office
ORD1184, Jason Mcdowell , EAST ,Keyboard,9775.89,,0.16,2025-11-10,Accessories
,David Mckenzie,north ,KEYBOARD,1110.86,,0.36,02/05/2025,Accessories
ORD1186,SAMANTHA COLLINS,south,TABLET,15406.0,7,,2025-04-24,Electronics
ORD1187,NATHAN SWEENEY,South,,29893.42,3,,,Accessories
ORD1188, Lauren Garcia ,West,keyboard,,8,,07-15-2025,Accessories
,,north ,keyboard,14374.86,,0.08,2025-06-06,Accessories
ORD1190,ANGELA MEDINA,West,TABLET,3923.35,,,17/08/2025,Electronics
ORD1191,,North,,24222.12,,0.17,10-28-2025,Electronics
,Timothy Elliott,North,tablet,,,,03-25-2026,Electronics
ORD1193,Deborah Smith,North,MONITOR,,10,,,Electronics
,MICHELLE KENNEDY, EAST ,Tablet,24397.17,3,,29/10/2025,Electronics
ORD1195, Dwayne Mckay ,West,Printer,34989.78,2,0.32,2025-09-29,Office
,Kristopher Martin,South,keyboard,,3,,,Accessories
ORD1197,PERRY PARKS,south,,20081.33,10,0.16,25/04/2025,Accessories
,Alexandra Rosales,north ,Keyboard,27076.01,4,,12-07-2025,Accessories
ORD1199,,north ,Printer,,,0.24,05-10-2025,Office
ORD1200, James Smith ,North,laptop,7497.25,7,,27/03/2026,Electronics
,KAYLA MEDINA,north ,monitor,7444.68,8,0.35,,Electronics
ORD1202,,north ,,,8,0.03,05/11/2025,Accessories
ORD1203, George Herring ,south,KEYBOARD,,,0.05,07-06-2025,Accessories
ORD1204,Robert Flowers,South,,27544.49,4,,2025-05-28,Office
ORD1205,CATHERINE RICH,south,MONITOR,30707.96,3,0.31,2026-01-13,Electronics
ORD1206, Gerald Thomas ,north ,printer,35350.66,,0.39,20/04/2025,Office
ORD1207, Mark Smith ,South,monitor,35220.61,,0.16,03-20-2026,Electronics
ORD1208,,West,Tablet,31864.57,,,,Electronics
ORD1209,Deborah Russo,South,Monitor,,,,03/11/2025,Electronics
ORD1210, Monica Chen , EAST ,MONITOR,6964.42,6,,2025-09-01,Electronics
ORD1211,,West,Laptop,,3,,2026-01-16,Electronics
ORD1212, Randall Zhang ,North,TABLET,33393.19,,0.28,,Electronics
ORD1213,Ashley Anderson,North,tablet,24101.93,9,,2025-08-23,Electronics
,ANDREW NASH,West,Monitor,11832.87,6,0.35,,Electronics
,JO HENDRIX,North,Mouse,8623.77,3,,06/01/2026,Accessories
ORD1216,MRS. REBECCA JENKINS MD,North,,17901.01,,,2025-09-08,Electronics
ORD1217,COLLEEN BUSH,north ,tablet,37518.26,8,,2025-12-29,Electronics
ORD1218, Darren White , EAST ,printer,42029.18,,,2025-07-27,Office
,Kelsey Patton,North,LAPTOP,46167.67,,,,Electronics
ORD1220,Erin Prince,South,tablet,,,0.13,07-03-2025,Electronics
ORD1221,KATIE DRAKE,North,tablet,22006.94,10,0.12,2025-09-18,Electronics
,TINA SMITH,South,Laptop,,9,,2026-01-09,Electronics
ORD1223,, EAST ,Laptop,,8,0.2,,Electronics
ORD1224, Brittany Dixon ,south,PRINTER,,,0.2,2025-05-31,Office
ORD1225,, EAST ,,46051.21,9,,06-19-2025,Accessories
ORD1226, Chad Norton ,North,Keyboard,9377.55,2,,12-13-2025,Accessories
,,North,LAPTOP,28408.43,4,,18/07/2025,Electronics
,ERIC GAINES,south,Tablet,,1,,06-20-2025,Electronics
ORD1229,JASMINE COHEN MD,West,,48078.66,5,,01-14-2026,Electronics
,Kirk Mathis,north ,Monitor,32042.18,,0.02,06/07/2025,Electronics
ORD1231, Joyce Carroll ,West,KEYBOARD,16243.86,,0.04,30/09/2025,Accessories
ORD1232, Benjamin Martin ,West,Monitor,27028.27,5,0.11,2025-09-16,Electronics
, Robin Navarro ,South,Mouse,11143.53,4,0.16,11-11-2025,Accessories
ORD1234,Pamela Lewis,West,,28019.71,8,0.05,03/02/2026,Accessories
ORD1235,, EAST ,Mouse,29325.03,1,,10/08/2025,Accessories
ORD1236,Kevin York,North,,46244.52,7,,28/04/2025,Electronics
ORD1237,TIMOTHY GREEN, EAST ,KEYBOARD,,10,,,Accessories
ORD1238,Andrew Rich,North,PRINTER,,,0.4,,Office
ORD1239,,north ,,28499.73,7,0.01,2025-11-23,Electronics
ORD1240,,north ,KEYBOARD,38458.69,,0.1,08/03/2026,Accessories
ORD1241, Amy Barker ,south,printer,,6,,14/10/2025,Office
ORD1242,,north ,PRINTER,9190.06,4,,2025-09-04,Office
,JUAN GONZALEZ,south,KEYBOARD,45979.65,1,0.23,2025-10-04,Accessories
ORD1244,Melvin Tran, EAST ,,17159.77,,,08-31-2025,Office
, Tammy Schmidt ,south,mouse,36832.75,,,2026-03-29,Accessories
, Bryan Smith ,north ,mouse,5653.46,,,10-16-2025,Accessories
,Kendra Horton,South,MOUSE,22608.18,6,0.31,2026-03-26,Accessories
ORD1248,,south,,,2,0.32,23/08/2025,Electronics
ORD1249,Frederick Norman, EAST ,Monitor,16276.49,3,0.06,2025-10-14,Electronics
,,South,Keyboard,,7,0.04,09/10/2025,Accessories
, Donald Morgan ,South,MONITOR,5247.84,9,,2026-02-09,Electronics
ORD1252, Kristina Lopez ,South,,10383.9,2,,,Electronics
ORD1253, Carolyn Newton ,North,,44331.89,3,,12-24-2025,Electronics
ORD1254,Ashley Bell,south,Mouse,,7,,,Accessories
,,north ,printer,,,0.36,2025-04-18,Office
ORD1256,GREGORY ALVAREZ,south,monitor,,,,07-25-2025,Electronics
ORD1257,Carla Williams,West,,,,,2025-07-18,Electronics
ORD1258,RACHEL JOHNSON,north ,Monitor,46283.94,9,,,Electronics
ORD1259,,North,tablet,,1,,11/01/2026,Electronics
,, EAST ,LAPTOP,40960.6,5,0.34,27/07/2025,Electronics
ORD1261,, EAST ,MOUSE,36575.57,4,,,Accessories
ORD1262,Amanda Holland,north ,printer,35623.69,,0.01,25/12/2025,Office
ORD1263,Mrs. Nancy Norton,West,Laptop,35379.38,,0.16,2026-03-01,Electronics
ORD1264,,north ,,,6,,2025-12-10,Accessories
ORD1265,,North,keyboard,42764.16,,,2025-04-26,Accessories
ORD1266,,south,tablet,918.95,,,,Electronics
ORD1267,, EAST ,monitor,,7,,05-07-2025,Electronics
,Tonya Newton,West,Keyboard,14185.92,,,19/01/2026,Accessories
,LORI JONES,North,,,8,,,Accessories
,Robert Ellis,north ,monitor,,,,21/04/2025,Electronics
,LAWRENCE BRIGGS, EAST ,Tablet,,,0.36,14/11/2025,Electronics
ORD1272, Andre Miller ,West,KEYBOARD,29485.75,2,0.35,,Accessories
,Justin Sloan,South,,26727.01,4,,08/07/2025,Accessories
,CHRISTINE BROWN,North,,49338.7,1,0.11,08/04/2026,Accessories
ORD1275,JESSE BARNES,north ,,20467.98,7,,2025-05-09,Electronics
,LARRY MCCANN,North,Keyboard,,6,,18/08/2025,Accessories
ORD1277, Nancy Evans , EAST ,,30020.31,3,,08-14-2025,Electronics
ORD1278,,North,mouse,11603.91,,,2025-07-18,Accessories
, Joshua Hill ,north ,Monitor,29899.24,,,,Electronics
, Gail Meza ,West,laptop,10672.0,,,19/06/2025,Electronics
ORD1281,Logan Larson, EAST ,Monitor,,,,,Electronics
ORD1282,Charles Vasquez,north ,,34566.09,6,0.01,2025-10-23,Accessories
,,south,Printer,,,,11-28-2025,Office
ORD1284,Kristin Murphy,south,Monitor,,,0.05,2026-03-17,Electronics
,MELISSA BARTON, EAST ,MOUSE,47776.91,6,,,Accessories
ORD1286,,South,,40095.01,,0.29,2025-09-05,Electronics
,,north ,,19297.66,,0.35,,Electronics
ORD1288,,West,Monitor,3635.13,,,2025-04-20,Electronics
,JESSICA WRIGHT,West,MONITOR,33353.68,9,0.0,,Electronics
ORD1290,Melanie Jones,West,MONITOR,12424.14,,,01/08/2025,Electronics
ORD1291,,north ,,25173.58,,0.26,,Electronics
ORD1292,Melissa Williams,North,MONITOR,,6,0.33,,Electronics
,,South,KEYBOARD,,1,,11-23-2025,Accessories
ORD1294,Adam Bowen,south,,,2,0.24,2025-09-10,Electronics
ORD1295,,south,MONITOR,,2,0.18,,Electronics
,Patrick Parker,north ,,,3,0.29,2025-10-31,Electronics
, Holly Pugh ,north ,,,5,,,Electronics
ORD1298,,north ,MOUSE,27616.4,9,,12-14-2025,Accessories
ORD1299,ERIN MILLER,north ,TABLET,,,,07-19-2025,Electronics
ORD1300,Mark Blake,North,,7693.67,3,0.27,2025-11-23,Electronics
ORD1301,EMMA MILLER,north ,Tablet,,,,15/12/2025,Electronics
, Zachary Olson ,South,Printer,,6,,15/07/2025,Office
ORD1303,LISA SMITH,South,PRINTER,,4,0.18,19/08/2025,Office
,Jamie Allen,West,Mouse,21711.14,10,,29/09/2025,Accessories
ORD1305, Mathew Lindsey ,north ,Laptop,,,0.22,01-10-2026,Electronics
ORD1306,JOHN SANTOS,north ,Printer,,9,0.14,12-10-2025,Office
ORD1307, Derek Zuniga ,south,,,,0.14,06/02/2026,Accessories
, Jamie Odom ,West,Laptop,27241.75,9,,,Electronics
ORD1309,MICHAEL YORK, EAST ,Laptop,,,0.03,,Electronics
ORD1310,,South,Laptop,8110.85,6,0.03,11-30-2025,Electronics
ORD1311,COURTNEY SMITH, EAST ,,31695.75,1,0.27,2025-04-29,Office
,Chad Brooks,South,Tablet,25390.43,5,,,Electronics
,Kara Morris,West,monitor,7250.88,,,2025-09-10,Electronics
,MARK LOPEZ,North,Printer,,2,,20/07/2025,Office
,DUSTIN HARRIS,south,monitor,11429.0,,0.32,,Electronics
,Jonathan Gill, EAST ,Tablet,,6,0.05,2025-04-19,Electronics
,Rodney Pratt,south,KEYBOARD,,5,,09-26-2025,Accessories
ORD1318,Brian Lewis, EAST ,monitor,,5,,,Electronics
ORD1319, Joe Palmer , EAST ,,,2,0.36,10-11-2025,Electronics
,Kevin Kelley,South,Tablet,,,0.16,2025-09-29,Electronics
ORD1321,,South,printer,,3,0.2,,Office
,Kenneth Atkinson,South,keyboard,,3,0.18,15/07/2025,Accessories
,, EAST ,Tablet,11331.55,5,0.02,06-27-2025,Electronics
ORD1324,,North,Monitor,,,0.11,,Electronics
ORD1325, Warren Fuller ,north ,Tablet,26074.81,7,,,Electronics
,Jeff Brown,north ,monitor,,5,,2025-12-13,Electronics
ORD1327,, EAST ,Tablet,24335.07,,0.33,09/10/2025,Electronics
ORD1328,GAIL JENKINS,south,Laptop,44594.48,,0.38,11-13-2025,Electronics
ORD1329,,north ,,8943.06,,0.33,04-22-2025,Electronics
, Erik Galloway ,West,Mouse,11875.78,,,12/09/2025,Accessories
ORD1331,EMILY MARTIN,West,Printer,43948.76,,0.05,,Office
ORD1332, Charles Rodriguez ,North,,40213.86,,0.36,,Office
ORD1333,,south,Mouse,43899.93,5,0.28,2025-07-10,Accessories
ORD1334,,South,printer,16137.13,3,,04-13-2026,Office
ORD1335, Sara Ryan ,north ,PRINTER,49594.03,,,,Office
ORD1336, Katherine Eaton ,South,,,4,0.31,2025-06-27,Accessories
,, EAST ,Mouse,8456.53,3,,2025-05-13,Accessories
ORD1338,STEPHEN DAVIDSON, EAST ,Laptop,36362.49,9,0.28,30/11/2025,Electronics
ORD1339,,North,tablet,,5,0.31,21/02/2026,Electronics
ORD1340, Mrs. Melissa Serrano ,south,Tablet,4798.72,,0.16,2025-05-18,Electronics
,Gary Alvarado,North,TABLET,,6,0.09,,Electronics
,Juan Leblanc, EAST ,monitor,20653.16,5,,04-12-2026,Electronics
ORD1343,,north ,,37994.93,8,,2025-08-04,Electronics
,JESUS NIXON,South,monitor,20915.09,9,,23/05/2025,Electronics
ORD1345,,South,KEYBOARD,46604.11,6,,08/12/2025,Accessories
,LINDSEY COLE,West,tablet,12481.8,4,,24/07/2025,Electronics
ORD1347,Cathy Roberson,South,,,8,,06-02-2025,Electronics
ORD1348, Tina Perry ,West,monitor,,,,,Electronics
ORD1349,,North,,,,,02-10-2026,Electronics
, Nicholas Thomas ,south,MOUSE,30847.66,8,,06-02-2025,Accessories
ORD1351,,south,monitor,48973.99,,,20/08/2025,Electronics
,TIFFANY RIVERA,West,Mouse,,,,10-27-2025,Accessories
,Kathleen Russell,West,Keyboard,3471.8,2,,04-14-2025,Accessories
, Lori Rocha , EAST ,Keyboard,,,0.23,05-25-2025,Accessories
ORD1355,,South,,19363.01,8,,,Accessories
,,North,Tablet,11796.79,,,,Electronics
,,West,keyboard,,,0.28,31/12/2025,Accessories
ORD1358,Carla Duncan,North,Mouse,46871.29,,0.31,2025-10-10,Accessories
,ELIZABETH JENKINS,North,,12746.13,8,0.21,2025-10-02,Accessories
, Robert Huynh , EAST ,,43609.46,9,0.39,,Electronics
,,north ,TABLET,45491.7,8,,25/02/2026,Electronics
ORD1362,Rachel Carpenter,north ,keyboard,17522.3,8,,11-14-2025,Accessories
ORD1363,Troy Brown,north ,PRINTER,44167.02,7,,,Office
ORD1364,Dustin Walsh,West,mouse,,,,,Accessories
ORD1365,KRISTOPHER BRYANT,south,MOUSE,23039.48,10,0.08,13/04/2026,Accessories
,Patricia Ramirez,south,Laptop,6689.44,1,,19/05/2025,Electronics
ORD1367, Karl Joseph ,West,KEYBOARD,39675.52,2,,2025-09-13,Accessories
ORD1368,JACOB JONES,south,PRINTER,40953.91,7,0.1,10/05/2025,Office
,Eric Montes,north ,monitor,34231.39,,0.29,04-24-2025,Electronics
, Kevin Guerra ,south,MONITOR,44432.22,,0.17,02/01/2026,Electronics
,David Day,West,keyboard,,8,0.15,21/08/2025,Accessories
ORD1372,Mike Thomas,South,MOUSE,,1,0.26,30/12/2025,Accessories
ORD1373, Stephen White ,north ,MONITOR,40373.51,7,,2025-09-19,Electronics
,,north ,MONITOR,,9,,01-09-2026,Electronics
,DAVID DAVIS,North,printer,,6,,11/03/2026,Office
, Katelyn Price ,north ,laptop,,,0.27,02-28-2026,Electronics
ORD1377, Johnathan Lee ,North,Keyboard,26398.43,3,0.04,2026-02-18,Accessories
,,South,,35215.04,1,0.24,2025-09-08,Electronics
,,North,,,,,2026-03-08,Accessories
ORD1380, Diane Smith ,North,tablet,,9,0.08,19/04/2025,Electronics
,,South,Printer,,8,0.07,,Office
ORD1382,RICHARD TATE,north ,,,6,,04-05-2026,Office
ORD1383,MONICA HARDIN,West,PRINTER,22893.97,1,0.24,03-01-2026,Office
ORD1384,NICHOLAS BROWN,south,LAPTOP,,,0.22,2025-04-22,Electronics
